 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[933785355] kistler:   -0.02441 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00018 rad/s
[933953355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[934121355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[934289355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[934457386] kistler:    0.00000 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00018 rad/s
[934625365] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
[934793338] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[934961338] kistler:   -0.04882 Nm	kollmor[62322385] kistler:   -0.07324 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02984 rad	rate:    0.00011 rad/s
[62490828] kistler:    0.02441 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02984 rad	rate:    0.00018 rad/s
[62658059] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02984 rad	rate:    0.00017 rad/s
[62826059] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02984 rad	rate:    0.00016 rad/s
[62994059] kistler:   -0.02441 Nm	kollmorgen:    0.15792 Nm	steer:   -0.02984 rad	rate:    0.00017 rad/s
[63162059] kistler:   -0.04882 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02984 rad	rate:    0.00016 rad/s
[63330059] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02984 rad	rate:    0.00015 rad/s
[63498059] kistler:   -0.04882 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02984 rad	rate:    0.00014 rad/s
[63666059] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02984 rad	rate:    0.00013 rad/s
[63834059] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02984 rad	rate:    0.00013 rad/s
[64002059] kistler:   -0.04882 Nm	kollmorgen:    0.16319 Nm	steer:   -0.02984 rad	rate:    0.00013 rad/s
